veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg,incremental price,,,,,,,,,,,,,,,,,
39,BMW,BMW,328CXi,2,SUBCOMPACT CARS,C,G,44.8,38633,26.33,4122,26.34, $(533),,,,,,,,,,,,,,,,,
40,BMW,BMW,328i,3,COMPACT CARS,C,G,44.8,33839,28.64,41659,28.17, $(689),,,,,,,,,,,,,,,,,
41,BMW,BMW,328i sport wagon,3,SMALL STATION WAGONS,C,G,44.8,35675,27.52,607,27.52, $26 ,,,,,,,,,,,,,,,,,
42,BMW,BMW,328Xi,3,COMPACT CARS,C,G,44.8,35777,26.38,16031,26.38, $(627),,,,,,,,,,,,,,,,,
43,BMW,BMW,328Xi sport wagon,3,SMALL STATION WAGONS,C,G,44.8,37613,26.33,1108,26.28, $88 ,,,,,,,,,,,,,,,,,
44,BMW,BMW,335Ci,2,SUBCOMPACT CARS,C,G,44.8,42407,26.47,7519,26.36, $244 ,,,,,,,,,,,,,,,,,
45,BMW,BMW,335Ci Convertible,2,SUBCOMPACT CARS,C,G,44.8,50873,26.45,9926,26.34, $328 ,,,,,,,,,,,,,,,,,
46,BMW,BMW,335CXi,2,SUBCOMPACT CARS,C,G,44.8,44243,25.58,4156,25.44, $308 ,,,,,,,,,,,,,,,,,
47,BMW,BMW,335i,3,COMPACT CARS,C,G,44.8,40469,26.45,12297,26.34, $132 ,,,,,,,,,,,,,,,,,
48,BMW,BMW,335Xi,3,COMPACT CARS,C,G,44.8,42407,25.56,5720,25.44, $194 ,,,,,,,,,,,,,,,,,
49,BMW,BMW,528i,4,MIDSIZE CARS,C,G,48.8,45977,27.70,26596,27.72, $(27),,,,,,,,,,,,,,,,,
50,BMW,BMW,528Xi,4,MIDSIZE CARS,C,G,48.8,48221,26.42,12242,26.43, $30 ,,,,,,,,,,,,,,,,,
51,BMW,BMW,535i,4,MIDSIZE CARS,C,G,48.8,51179,26.45,17581,26.33, $72 ,,,,,,,,,,,,,,,,,
52,BMW,BMW,535Xi,4,MIDSIZE CARS,C,G,48.8,53423,25.54,13104,25.45, $128 ,,,,,,,,,,,,,,,,,
53,BMW,BMW,535Xi sport wagon,4,MIDSIZE STATION WAGONS,C,G,48.7,55871,24.70,2360,24.71," $(1,921)",,,,,,,,,,,,,,,,,
54,BMW,BMW,550i,4,MIDSIZE CARS,C,G,48.8,60461,23.12,7512,23.20, $140 ,,,,,,,,,,,,,,,,,
55,BMW,BMW,650Ci,19,SUBCOMPACT CARS,C,G,47.1,76985,23.11,1956,23.22," $1,466 ",,,,,,,,,,,,,,,,,
56,BMW,BMW,650Ci Convertible,19,SUBCOMPACT CARS,C,G,47.1,84125,22.99,4096,22.89," $1,426 ",,,,,,,,,,,,,,,,,
57,BMW,BMW,750i,19,LARGE CARS,C,G,51,78107,23.10,3060,22.18," $3,894 ",,,,,,,,,,,,,,,,,
58,BMW,BMW,750Li,19,LARGE CARS,C,G,53.4,81269,23.10,10432,21.47," $4,632 ",,,,,,,,,,,,,,,,,
59,BMW,BMW,760Li,19,LARGE CARS,C,G,53.4,125843,19.60,107,19.80," $11,158 ",,,,,,,,,,,,,,,,,
60,BMW,BMW,M3,3,COMPACT CARS,C,G,45.7,54876,20.81,1984,20.70, $524 ,,,,,,,,,,,,,,,,,
61,BMW,BMW,M3 Convertible,2,SUBCOMPACT CARS,C,G,45.7,66249,20.18,2319,20.22, $801 ,,,,,,,,,,,,,,,,,
62,BMW,BMW,M3 Coupe,2,SUBCOMPACT CARS,C,G,45.7,57630,20.76,3551,20.70, $770 ,,,,,,,,,,,,,,,,,
63,BMW,BMW,M5,19,MIDSIZE CARS,C,G,48.9,85349,16.35,2666,16.41, $352 ,,,,,,,,,,,,,,,,,
64,BMW,BMW,M6,19,SUBCOMPACT CARS,C,G,47.2,102077,16.36,591,16.42, $274 ,,,,,,,,,,,,,,,,,
65,BMW,BMW,M6 Convertible,19,SUBCOMPACT CARS,C,G,47.2,107993,16.32,956,16.34, $158 ,,,,,,,,,,,,,,,,,
66,BMW,BMW,X3 3.0si,11,SUV,T,G,46.1,39551,25.42,21033,25.42, $(701),,,,,,,,,,,,,,,,,
67,BMW,BMW,X5 3.0si,11,SUV,T,G,52,47609,22.81,25328,22.81, $(9),,,,,,,,,,,,,,,,,
68,BMW,BMW,X5 4.8i,11,SUV,T,G,52,56381,20.14,11081,20.19, $(81),,,,,,,,,,,,,,,,,
69,BMW,BMW,X6 xDrive35i,11,SUV,T,G,52.9,53550,21.47,3238,22.23," $2,950 ",,,,,,,,,,,,,,,,,
70,BMW,BMW,X6 xDrive50i,11,SUV,T,G,52.9,64260,18.59,644,18.91," $2,940 ",,,,,,,,,,,,,,,,,
71,BMW,BMW,Z4 3.0,1,TWO SEATERS,C,G,40.2,40268,28.62,5380,28.20," $5,732 ",,,,,,,,,,,,,,,,,
72,BMW,BMW,Z4 M,1,TWO SEATERS,C,G,40.3,52612,23.39,500,25.95, $(712),,,,,,,,,,,,,,,,,
73,Volkswagen,Bugatti,Veyron,19,LARGE CARS,C,G,50.90479167,1734000,12.00,18,12.02," $(34,000)",,,,,,,,,,,,,,,,,
74,GENERAL MOTORS,Buick,Enclave AWD,11,SUV,T,G,55.6,36608,22.07,27656,22.99," $4,022 ",,,,,,,,,,,,,,,,,
75,GENERAL MOTORS,Buick,Enclave FWD,11,SUV,T,G,55.6,34568,24.51,35589,24.78," $4,062 ",,,,,,,,,,,,,,,,,
76,GENERAL MOTORS,Buick,LaCrosse/Allure,9,MIDSIZE CARS,C,G,48.4,25933,25.58,41961,26.06," $2,934 ",,,,,,,,,,,,,,,,,
77,GENERAL MOTORS,Buick,Lucerne,5,LARGE CARS,C,G,50.4,29555,25.40,66117,26.13," $3,347 ",,,,,,,,,,,,,,,,,
78,GENERAL MOTORS,Cadillac,CTS,4,MIDSIZE CARS,C,G,49,33650,25.70,42094,26.97," $7,806 ",,,,,,,,,,,,,,,,,
79,GENERAL MOTORS,Cadillac,CTS AWD,4,MIDSIZE CARS,C,G,49,36914,22.82,20849,26.20," $5,474 ",,,,,,,,,,,,,,,,,
80,GENERAL MOTORS,Cadillac,DTS,5,LARGE CARS,C,G,49.9,46196,23.18,40809,23.19," $8,229 ",,,,,,,,,,,,,,,,,
81,GENERAL MOTORS,Cadillac,Escalade 2WD,11,SUV,T,G,54.4,56753,18.35,7867,20.99," $6,402 ",,,,,,,,,,,,,,,,,
82,GENERAL MOTORS,Cadillac,Escalade AWD,11,SUV,T,G,54.4,59359,18.28,22340,20.58," $6,346 ",,,,,,,,,,,,,,,,,
83,GENERAL MOTORS,Cadillac,Escalade ESV 2WD,11,SUV,T,G,61,60578,18.35,1303,20.99," $5,472 ",,,,,,,,,,,,,,,,,
84,General Motors,Cadillac,Funeral Coach/Hearse,5,LARGE CARS,C,G,50.09333333,51689,18.41,967,18.31, $(164),,,,,,,,,,,,,,,,,
85,General Motors,Cadillac,Limousine,5,LARGE CARS,C,G,50.09333333,51689,18.16,664,18.31, $(164),,,,,,,,,,,,,,,,,
86,GENERAL MOTORS,Cadillac,SRX 2WD,11,SUV,T,G,50.2,38550,21.40,8510,24.37," $2,430 ",,,,,,,,,,,,,,,,,
87,GENERAL MOTORS,Cadillac,SRX AWD,11,SUV,T,G,50.2,45824,20.87,13432,22.80, $(325),,,,,,,,,,,,,,,,,
88,GENERAL MOTORS,Cadillac,STS,4,MIDSIZE CARS,C,G,50.1,57228,24.47,11349,26.23," $(6,109)",,,,,,,,,,,,,,,,,
